test_f1,test_acc,test_auc,val_auc,k,dataset,layer,sae_id,reg_type,sae_l0
0.8896147856792975,0.8896321070234113,0.9495696611081226,0.9715886354541817,16,5_hist_fig_ismale,12,standard_new_width-2pow14_date-0107,l1,106
0.9096077599692693,0.9096989966555183,0.962569481800251,0.9831932773109243,128,5_hist_fig_ismale,12,standard_new_width-2pow14_date-0107,l1,106
0.462572486365265,0.55,0.7262666666666666,0.818327330932373,16,90_glue_qnli,12,jump_relu_width-2pow14_date-0107,l1,331
0.5053977144405799,0.5133333333333333,0.5249333333333333,0.823529411764706,128,90_glue_qnli,12,jump_relu_width-2pow14_date-0107,l1,331
0.6043805406904842,0.6166666666666667,0.6518874643874644,0.6738695478191277,16,7_hist_fig_ispolitician,12,p_anneal_width-2pow14_date-0107,l1,1051
0.5596862185772865,0.56,0.6414707977207978,0.6770708283313325,128,7_hist_fig_ispolitician,12,p_anneal_width-2pow14_date-0107,l1,1051
0.6360665478312537,0.6733333333333333,0.6656444444444445,0.9788961038961039,16,73_control-group,12,p_anneal_width-2pow14_date-0107,l1,1051
0.5737272622537412,0.63,0.8496888888888888,0.997564935064935,128,73_control-group,12,p_anneal_width-2pow14_date-0107,l1,1051
0.9124948380626513,0.9130434782608695,0.9637349829657522,0.9819927971188476,16,5_hist_fig_ismale,12,p_anneal_width-2pow14_date-0107,l1,83
0.8723111307000129,0.8729096989966555,0.9646763492917338,0.9943977591036415,128,5_hist_fig_ismale,12,p_anneal_width-2pow14_date-0107,l1,83
0.6250215559588067,0.6366666666666667,0.6472133190883191,0.7178871548619448,16,7_hist_fig_ispolitician,12,jump_relu_width-2pow14_date-0107,l1,164
0.6171819330312127,0.63,0.6281160968660968,0.7414965986394557,128,7_hist_fig_ispolitician,12,jump_relu_width-2pow14_date-0107,l1,164
0.6598639455782314,0.66,0.6990888888888889,0.7478991596638656,16,90_glue_qnli,12,batch_top_k_width-2pow14_date-0107,l1,20
0.6157059314954051,0.6166666666666667,0.6514222222222222,0.7767106842737095,128,90_glue_qnli,12,batch_top_k_width-2pow14_date-0107,l1,20
0.5686777920410783,0.6266666666666667,0.8235111111111111,0.9995941558441559,16,67_social-security,12,batch_top_k_width-2pow14_date-0107,l1,642
0.5787377450980392,0.6333333333333333,0.7744000000000001,1.0,128,67_social-security,12,batch_top_k_width-2pow14_date-0107,l1,642
0.9564533471289772,0.9565217391304348,0.9846691769768693,0.9971988795518207,16,5_hist_fig_ismale,12,gated_width-2pow14_date-0107,l1,1187
0.9230769230769231,0.9230769230769231,0.9804106150259997,0.9991996798719488,128,5_hist_fig_ismale,12,gated_width-2pow14_date-0107,l1,1187
0.6574818441836651,0.6766666666666666,0.8466222222222223,0.9623849539815925,16,6_hist_fig_isamerican,12,top_k_width-2pow14_date-0107,l1,20
0.7482035067548147,0.7566666666666667,0.8760888888888889,0.988795518207283,128,6_hist_fig_isamerican,12,top_k_width-2pow14_date-0107,l1,20
0.8196276843144149,0.8233333333333334,0.9250666666666666,0.9915966386554622,16,6_hist_fig_isamerican,12,gated_width-2pow14_date-0107,l1,663
0.7768853190539937,0.7833333333333333,0.9131555555555556,0.9963985594237694,128,6_hist_fig_isamerican,12,gated_width-2pow14_date-0107,l1,663
0.5953673462563119,0.5966666666666667,0.6659999999999999,0.8207282913165267,16,90_glue_qnli,12,batch_top_k_width-2pow14_date-0107,l1,642
0.6052455506490031,0.6066666666666667,0.664711111111111,0.8191276510604242,128,90_glue_qnli,12,batch_top_k_width-2pow14_date-0107,l1,642
0.6171819330312127,0.63,0.6250445156695157,0.7122849139655862,16,7_hist_fig_ispolitician,12,relu_google_gemma-2-2b_standard,l1,955
0.6109457478005865,0.62,0.6402688746438746,0.7735094037615047,128,7_hist_fig_ispolitician,12,relu_google_gemma-2-2b_standard,l1,955
0.6480395183698674,0.6833333333333333,0.4852444444444445,0.9910714285714285,16,73_control-group,12,matryoshka_batch_top_k_width-2pow14_date-0107,l1,80
0.64349376114082,0.68,0.6219555555555556,1.0,128,73_control-group,12,matryoshka_batch_top_k_width-2pow14_date-0107,l1,80
0.6867631013972477,0.7033333333333334,0.8443111111111112,0.9487795118047219,16,6_hist_fig_isamerican,12,relu_google_gemma-2-2b_standard,l1,53
0.7719821669635059,0.7766666666666666,0.8695111111111111,0.9807923169267707,128,6_hist_fig_isamerican,12,relu_google_gemma-2-2b_standard,l1,53
0.4543650793650793,0.56,0.7075777777777779,1.0,16,67_social-security,12,batch_top_k_width-2pow14_date-0107,l1,80
0.6107871169276115,0.6566666666666666,0.8504,1.0,128,67_social-security,12,batch_top_k_width-2pow14_date-0107,l1,80
0.6411932886058935,0.65,0.6739999999999999,0.8135254101640655,16,90_glue_qnli,12,gated_width-2pow14_date-0107,l1,164
0.6341258741258742,0.6366666666666667,0.6697777777777777,0.8363345338135254,128,90_glue_qnli,12,gated_width-2pow14_date-0107,l1,164
0.6480395183698674,0.6833333333333333,0.6651555555555556,0.9955357142857142,16,73_control-group,12,standard_new_width-2pow14_date-0107,l1,54
0.658586130520442,0.69,0.7372444444444444,0.9975649350649352,128,73_control-group,12,standard_new_width-2pow14_date-0107,l1,54
0.6154317753675692,0.6166666666666667,0.6528444444444444,0.720688275310124,16,87_glue_cola,12,jump_relu_width-2pow14_date-0107,l1,82
0.5836726267619364,0.5966666666666667,0.6515555555555556,0.7807122849139656,128,87_glue_cola,12,jump_relu_width-2pow14_date-0107,l1,82
0.5796553173602353,0.6,0.7153111111111112,0.7943177270908364,16,90_glue_qnli,12,relu_google_gemma-2-2b_standard,l1,179
0.626006581385685,0.63,0.7043111111111111,0.8259303721488596,128,90_glue_qnli,12,relu_google_gemma-2-2b_standard,l1,179
0.5296822742474917,0.6,0.7335555555555555,1.0,16,66_living-room,12,p_anneal_width-2pow14_date-0107,l1,153
0.44821673051126387,0.5566666666666666,0.8237777777777778,1.0,128,66_living-room,12,p_anneal_width-2pow14_date-0107,l1,153
0.6102843102029463,0.6233333333333333,0.6198806980056981,0.7623049219687876,16,7_hist_fig_ispolitician,12,matryoshka_batch_top_k_width-2pow14_date-0107,l1,319
0.5881809954751132,0.5933333333333334,0.6445868945868944,0.7635054021608644,128,7_hist_fig_ispolitician,12,matryoshka_batch_top_k_width-2pow14_date-0107,l1,319
0.4479205005520795,0.55,0.7708888888888888,1.0,16,66_living-room,12,batch_top_k_width-2pow14_date-0107,l1,159
0.4420076619843429,0.5533333333333333,0.7687111111111111,1.0,128,66_living-room,12,batch_top_k_width-2pow14_date-0107,l1,159
0.6368364418938307,0.64,0.6779111111111111,0.7050820328131253,16,87_glue_cola,12,gated_width-2pow14_date-0107,l1,1187
0.5357516726594146,0.5466666666666666,0.6157333333333334,0.8055222088835534,128,87_glue_cola,12,gated_width-2pow14_date-0107,l1,1187
0.6665332799786581,0.6666666666666666,0.7055777777777777,0.7326930772308923,16,90_glue_qnli,12,standard_new_width-2pow14_date-0107,l1,54
0.6232286746318423,0.6233333333333333,0.671688888888889,0.7811124449779914,128,90_glue_qnli,12,standard_new_width-2pow14_date-0107,l1,54
0.49346054888507723,0.58,0.7961333333333332,1.0,16,66_living-room,12,gated_width-2pow14_date-0107,l1,396
0.4100086305691931,0.5366666666666666,0.8182222222222223,1.0,128,66_living-room,12,gated_width-2pow14_date-0107,l1,396
0.5935422602089269,0.6433333333333333,0.8604444444444443,0.997564935064935,16,67_social-security,12,gated_width-2pow14_date-0107,l1,1187
0.5071523019593701,0.59,0.8478666666666667,1.0,128,67_social-security,12,gated_width-2pow14_date-0107,l1,1187
0.6442255062944718,0.6533333333333333,0.7035555555555555,0.720688275310124,16,87_glue_cola,12,p_anneal_width-2pow14_date-0107,l1,404
0.6297512426544685,0.6366666666666667,0.686711111111111,0.773109243697479,128,87_glue_cola,12,p_anneal_width-2pow14_date-0107,l1,404
0.882998158504813,0.882943143812709,0.9316837009144701,0.9791916766706682,16,5_hist_fig_ismale,12,jump_relu_width-2pow14_date-0107,l1,41
0.9430172055913405,0.9431438127090301,0.9775865160480545,0.9839935974389755,128,5_hist_fig_ismale,12,jump_relu_width-2pow14_date-0107,l1,41
0.64349376114082,0.68,0.7388222222222223,0.9943181818181819,16,73_control-group,12,standard_new_width-2pow14_date-0107,l1,106
0.6600835780163014,0.69,0.7197333333333333,0.9967532467532467,128,73_control-group,12,standard_new_width-2pow14_date-0107,l1,106
0.6590301301479765,0.66,0.7017333333333333,0.7603041216486595,16,90_glue_qnli,12,gated_width-2pow14_date-0107,l1,83
0.6571428571428571,0.6666666666666666,0.6883111111111111,0.8135254101640657,128,90_glue_qnli,12,gated_width-2pow14_date-0107,l1,83
0.64349376114082,0.68,0.7505555555555555,0.9963474025974025,16,73_control-group,12,relu_google_gemma-2-2b_standard,l1,179
0.6175,0.66,0.6564,1.0,128,73_control-group,12,relu_google_gemma-2-2b_standard,l1,179
0.6366439491619084,0.6466666666666666,0.6483707264957266,0.7262905162064826,16,7_hist_fig_ispolitician,12,standard_new_width-2pow14_date-0107,l1,654
0.6023650764413335,0.6133333333333333,0.6556712962962963,0.742296918767507,128,7_hist_fig_ispolitician,12,standard_new_width-2pow14_date-0107,l1,654
0.5124854975457386,0.5233333333333333,0.5505698005698005,0.6682673069227691,16,7_hist_fig_ispolitician,12,batch_top_k_width-2pow14_date-0107,l1,642
0.583775232759331,0.6033333333333334,0.6480146011396011,0.6922769107643058,128,7_hist_fig_ispolitician,12,batch_top_k_width-2pow14_date-0107,l1,642
0.6295018858687791,0.63,0.6584888888888889,0.7791116446578631,16,90_glue_qnli,12,batch_top_k_width-2pow14_date-0107,l1,321
0.629666700030027,0.63,0.6790222222222222,0.818327330932373,128,90_glue_qnli,12,batch_top_k_width-2pow14_date-0107,l1,321
0.6881671156017033,0.69,0.7446222222222222,0.7462985194077632,16,87_glue_cola,12,p_anneal_width-2pow14_date-0107,l1,1051
0.6384117150098564,0.6433333333333333,0.6739555555555556,0.7915166066426571,128,87_glue_cola,12,p_anneal_width-2pow14_date-0107,l1,1051
0.9129771230732601,0.9130434782608695,0.9421283844360768,0.9851940776310524,16,5_hist_fig_ismale,12,batch_top_k_width-2pow14_date-0107,l1,80
0.8829902887119958,0.882943143812709,0.9594315940469786,0.992797118847539,128,5_hist_fig_ismale,12,batch_top_k_width-2pow14_date-0107,l1,80
0.3967398280066743,0.53,0.8158222222222222,1.0,16,66_living-room,12,relu_google_gemma-2-2b_standard,l1,661
0.5127536077533414,0.5933333333333334,0.7700888888888889,1.0,128,66_living-room,12,relu_google_gemma-2-2b_standard,l1,661
0.4783742664638122,0.5733333333333334,0.711311111111111,1.0,16,67_social-security,12,top_k_width-2pow14_date-0107,l1,80
0.5886445584277081,0.64,0.852,1.0,128,67_social-security,12,top_k_width-2pow14_date-0107,l1,80
0.624079555859479,0.6366666666666667,0.6614138176638176,0.7354941976790716,16,7_hist_fig_ispolitician,12,gated_width-2pow14_date-0107,l1,396
0.6230303030303032,0.6266666666666667,0.6806000712250712,0.7226890756302521,128,7_hist_fig_ispolitician,12,gated_width-2pow14_date-0107,l1,396
0.5973350273961724,0.6033333333333334,0.6262686965811967,0.7134853941576631,16,7_hist_fig_ispolitician,12,p_anneal_width-2pow14_date-0107,l1,54
0.6059297536979161,0.61,0.6762375356125357,0.711484593837535,128,7_hist_fig_ispolitician,12,p_anneal_width-2pow14_date-0107,l1,54
0.6480395183698674,0.6833333333333333,0.5564888888888888,0.9955357142857142,16,73_control-group,12,p_anneal_width-2pow14_date-0107,l1,404
0.5814078521230431,0.6366666666666667,0.8308444444444445,0.9991883116883117,128,73_control-group,12,p_anneal_width-2pow14_date-0107,l1,404
0.8096015231878145,0.8133333333333334,0.9109777777777778,0.9911964785914367,16,6_hist_fig_isamerican,12,p_anneal_width-2pow14_date-0107,l1,1051
0.8109045067759219,0.8133333333333334,0.9186666666666667,0.9919967987194878,128,6_hist_fig_isamerican,12,p_anneal_width-2pow14_date-0107,l1,1051
0.5866666666666667,0.6,0.6214387464387464,0.7082833133253301,16,7_hist_fig_ispolitician,12,standard_new_width-2pow14_date-0107,l1,177
0.6026923033112733,0.61,0.6521100427350427,0.7326930772308924,128,7_hist_fig_ispolitician,12,standard_new_width-2pow14_date-0107,l1,177
0.9363548919577358,0.9364548494983278,0.9715797023489331,0.9899959983993597,16,5_hist_fig_ismale,12,relu_google_gemma-2-2b_standard,l1,390
0.933024727528419,0.9331103678929766,0.9781692666308052,0.9951980792316927,128,5_hist_fig_ismale,12,relu_google_gemma-2-2b_standard,l1,390
0.5951236886265825,0.6033333333333334,0.6425391737891737,0.6606642657062824,16,7_hist_fig_ispolitician,12,gated_width-2pow14_date-0107,l1,1187
0.6245967741935484,0.6333333333333333,0.6262464387464388,0.7462985194077632,128,7_hist_fig_ispolitician,12,gated_width-2pow14_date-0107,l1,1187
0.929557140934177,0.9297658862876255,0.9681952662721893,0.9971988795518206,16,5_hist_fig_ismale,12,top_k_width-2pow14_date-0107,l1,160
0.889669184287824,0.8896321070234113,0.9694728348574502,0.9987995198079231,128,5_hist_fig_ismale,12,top_k_width-2pow14_date-0107,l1,160
0.5963033396723718,0.5966666666666667,0.6384000000000001,0.7799119647859143,16,90_glue_qnli,12,matryoshka_batch_top_k_width-2pow14_date-0107,l1,319
0.5566700998611795,0.56,0.6215555555555556,0.8455382152861145,128,90_glue_qnli,12,matryoshka_batch_top_k_width-2pow14_date-0107,l1,319
0.6512438967681934,0.6833333333333333,0.8855555555555555,1.0,16,67_social-security,12,batch_top_k_width-2pow14_date-0107,l1,321
0.5837099464042469,0.6366666666666667,0.8381777777777778,1.0,128,67_social-security,12,batch_top_k_width-2pow14_date-0107,l1,321
0.6451628800946232,0.68,0.7203999999999999,1.0,16,73_control-group,12,batch_top_k_width-2pow14_date-0107,l1,20
0.6525553200926519,0.6866666666666666,0.6274444444444445,1.0,128,73_control-group,12,batch_top_k_width-2pow14_date-0107,l1,20
0.47024359439136487,0.49666666666666665,0.43711111111111106,0.7807122849139656,16,90_glue_qnli,12,p_anneal_width-2pow14_date-0107,l1,83
0.579326923076923,0.58,0.6012,0.8315326130452181,128,90_glue_qnli,12,p_anneal_width-2pow14_date-0107,l1,83
0.4819491662619395,0.5733333333333334,0.7644,0.9957099957099957,16,66_living-room,12,relu_google_gemma-2-2b_standard,l1,53
0.5607948975824624,0.6166666666666667,0.8221333333333334,0.9987129987129987,128,66_living-room,12,relu_google_gemma-2-2b_standard,l1,53
0.6059536127828811,0.6233333333333333,0.6474804131054132,0.6818727490996399,16,7_hist_fig_ispolitician,12,top_k_width-2pow14_date-0107,l1,80
0.5845028571428571,0.5933333333333334,0.6269586894586895,0.7543017206882753,128,7_hist_fig_ispolitician,12,top_k_width-2pow14_date-0107,l1,80
0.5856993388904858,0.5966666666666667,0.6366185897435899,0.6958783513405362,16,7_hist_fig_ispolitician,12,standard_new_width-2pow14_date-0107,l1,54
0.6082306684141546,0.61,0.6373753561253561,0.7454981992797118,128,7_hist_fig_ispolitician,12,standard_new_width-2pow14_date-0107,l1,54
0.5662053294773807,0.6266666666666667,0.8570444444444445,1.0,16,67_social-security,12,standard_new_width-2pow14_date-0107,l1,948
0.5292659449623545,0.6033333333333334,0.8342666666666666,1.0,128,67_social-security,12,standard_new_width-2pow14_date-0107,l1,948
0.5632120033342596,0.5633333333333334,0.5975555555555556,0.7106842737094838,16,87_glue_cola,12,jump_relu_width-2pow14_date-0107,l1,41
0.5659722222222223,0.5666666666666667,0.6291999999999999,0.7507002801120448,128,87_glue_cola,12,jump_relu_width-2pow14_date-0107,l1,41
0.6550324675324675,0.66,0.7021777777777778,0.7278911564625851,16,87_glue_cola,12,jump_relu_width-2pow14_date-0107,l1,662
0.5320357608493202,0.5533333333333333,0.5801777777777777,0.7827130852340937,128,87_glue_cola,12,jump_relu_width-2pow14_date-0107,l1,662
0.4420076619843429,0.5533333333333333,0.6341333333333332,0.9965679965679966,16,66_living-room,12,jump_relu_width-2pow14_date-0107,l1,20
0.4900437105390967,0.58,0.7380444444444444,0.9978549978549979,128,66_living-room,12,jump_relu_width-2pow14_date-0107,l1,20
0.5400400990682863,0.61,0.9326666666666666,1.0,16,67_social-security,12,relu_google_gemma-2-2b_standard,l1,661
0.6175,0.66,0.8699555555555556,1.0,128,67_social-security,12,relu_google_gemma-2-2b_standard,l1,661
0.7890514230383512,0.7966666666666666,0.8628444444444444,1.0,16,67_social-security,12,jump_relu_width-2pow14_date-0107,l1,164
0.7342655690850468,0.75,0.8703555555555554,1.0,128,67_social-security,12,jump_relu_width-2pow14_date-0107,l1,164
0.6033045820140481,0.6366666666666667,0.7460444444444444,0.7595038015206083,16,87_glue_cola,12,relu_google_gemma-2-2b_standard,l1,661
0.5912063953488372,0.6,0.6663555555555556,0.7743097238895559,128,87_glue_cola,12,relu_google_gemma-2-2b_standard,l1,661
0.48879067042973534,0.5733333333333334,0.784,1.0,16,66_living-room,12,top_k_width-2pow14_date-0107,l1,320
0.4165398274987316,0.54,0.7509333333333332,1.0,128,66_living-room,12,top_k_width-2pow14_date-0107,l1,320
0.8357009533815426,0.8366666666666667,0.9161333333333334,0.9895958383353342,16,6_hist_fig_isamerican,12,relu_google_gemma-2-2b_standard,l1,661
0.7742200328407226,0.78,0.8753333333333334,0.9907963185274109,128,6_hist_fig_isamerican,12,relu_google_gemma-2-2b_standard,l1,661
0.48879067042973534,0.5733333333333334,0.7876000000000001,0.9991419991419992,16,66_living-room,12,standard_new_width-2pow14_date-0107,l1,54
0.4543650793650793,0.56,0.8383777777777778,0.9987129987129987,128,66_living-room,12,standard_new_width-2pow14_date-0107,l1,54
0.5579849512433782,0.5633333333333334,0.6034222222222222,0.7150860344137655,16,87_glue_cola,12,standard_new_width-2pow14_date-0107,l1,54
0.5953965114188096,0.6,0.6589333333333334,0.683873549419768,128,87_glue_cola,12,standard_new_width-2pow14_date-0107,l1,54
0.5982142857142857,0.6,0.6160888888888889,0.8187274909963985,16,90_glue_qnli,12,gated_width-2pow14_date-0107,l1,1187
0.586606035551881,0.6,0.6334222222222223,0.8739495798319328,128,90_glue_qnli,12,gated_width-2pow14_date-0107,l1,1187
0.9496836720958406,0.9498327759197325,0.9910346064192218,0.9923969587835134,16,5_hist_fig_ismale,12,relu_google_gemma-2-2b_standard,l1,661
0.9396435322711316,0.939799331103679,0.9877174107943338,0.9939975990396158,128,5_hist_fig_ismale,12,relu_google_gemma-2-2b_standard,l1,661
0.3831864387284151,0.5233333333333333,0.6012666666666666,0.9991419991419992,16,66_living-room,12,jump_relu_width-2pow14_date-0107,l1,41
0.4543650793650793,0.56,0.6992444444444446,1.0,128,66_living-room,12,jump_relu_width-2pow14_date-0107,l1,41
0.4270144648795929,0.5233333333333333,0.6486666666666666,0.8263305322128851,16,90_glue_qnli,12,top_k_width-2pow14_date-0107,l1,320
0.6175523349436393,0.62,0.6688000000000001,0.8675470188075229,128,90_glue_qnli,12,top_k_width-2pow14_date-0107,l1,320
0.6566628518094645,0.6566666666666666,0.684,0.8343337334933975,16,90_glue_qnli,12,gated_width-2pow14_date-0107,l1,663
0.6565656565656566,0.66,0.6848888888888889,0.822328931572629,128,90_glue_qnli,12,gated_width-2pow14_date-0107,l1,663
0.5506349723217192,0.6166666666666667,0.8959999999999999,1.0,16,67_social-security,12,relu_google_gemma-2-2b_standard,l1,53
0.5886445584277081,0.64,0.8771555555555555,1.0,128,67_social-security,12,relu_google_gemma-2-2b_standard,l1,53
0.845117845117845,0.8466666666666667,0.9177333333333333,0.9935974389755902,16,6_hist_fig_isamerican,12,jump_relu_width-2pow14_date-0107,l1,662
0.8318687230989957,0.8333333333333334,0.9186666666666666,0.9943977591036414,128,6_hist_fig_isamerican,12,jump_relu_width-2pow14_date-0107,l1,662
0.6082977053418902,0.62,0.6625267094017093,0.7651060424169668,16,7_hist_fig_ispolitician,12,matryoshka_batch_top_k_width-2pow14_date-0107,l1,80
