test_f1,test_acc,test_auc,val_auc,k,dataset,layer,sae_id,reg_type,binarize
0.9842330069784637,0.9842331581462016,0.9987746105142434,1.0,16,66_living-room,20,layer_20/width_16k/average_l0_408,l1,False
0.9851881968550867,0.985188724319159,0.9989316649043704,1.0,128,66_living-room,20,layer_20/width_16k/average_l0_408,l1,False
0.9657841496267852,0.9657861635220126,0.9889513224287851,0.9955982392957182,16,5_hist_fig_ismale,20,layer_20/width_1m/average_l0_193,l1,False
0.9753435993274957,0.9753459119496856,0.9932741896775722,0.9995998399359743,128,5_hist_fig_ismale,20,layer_20/width_1m/average_l0_193,l1,False
0.9958620637172453,0.9958620689655172,0.9999551856161049,1.0,16,67_social-security,20,layer_20/width_1m/average_l0_193,l1,False
0.9963218235299549,0.9963218390804598,0.9999205178851669,1.0,128,67_social-security,20,layer_20/width_1m/average_l0_193,l1,False
0.8938179572838845,0.8938364779874214,0.9523588435494699,0.9551820728291316,16,6_hist_fig_isamerican,20,layer_20/width_131k/average_l0_276,l1,False
0.930801046701108,0.9308176100628931,0.977016350746654,0.9935974389755903,128,6_hist_fig_isamerican,20,layer_20/width_131k/average_l0_276,l1,False
0.9695557599930203,0.969559748427673,0.9892354884212167,1.0,16,5_hist_fig_ismale,20,layer_20/width_16k/average_l0_408,l1,False
0.9708168343375109,0.9708176100628931,0.9927469953085397,1.0,128,5_hist_fig_ismale,20,layer_20/width_16k/average_l0_408,l1,False
0.9733329274603515,0.9733333333333334,0.9914987959305157,1.0,16,73_control-group,20,layer_20/width_1m/average_l0_193,l1,False
0.9806896470084402,0.9806896551724138,0.9935873153309162,1.0,128,73_control-group,20,layer_20/width_1m/average_l0_193,l1,False
0.9926434728900896,0.9926436781609196,0.999266904323827,1.0,16,67_social-security,20,layer_20/width_16k/average_l0_408,l1,False
0.9954022988505747,0.9954022988505747,0.999683762649494,1.0,128,67_social-security,20,layer_20/width_16k/average_l0_408,l1,False
0.9971333001723265,0.9971333014811276,0.9991243304643513,1.0,16,66_living-room,20,layer_20/width_1m/average_l0_193,l1,False
0.9966555031252501,0.9966555183946488,0.9999479529055976,1.0,128,66_living-room,20,layer_20/width_1m/average_l0_193,l1,False
0.6336061436961961,0.6344654088050314,0.6940506906562678,0.695078031212485,16,7_hist_fig_ispolitician,20,layer_20/width_1m/average_l0_193,l1,False
0.655326933901846,0.6553459119496855,0.7164108202308972,0.758703481392557,128,7_hist_fig_ispolitician,20,layer_20/width_1m/average_l0_193,l1,False
0.7679631026027751,0.7685534591194969,0.8311099612268478,0.8543417366946778,16,87_glue_cola,20,layer_20/width_16k/average_l0_408,l1,False
0.7493206844702982,0.7494339622641509,0.8310362932501906,0.9083633453381352,128,87_glue_cola,20,layer_20/width_16k/average_l0_408,l1,False
0.8339262968183626,0.8339622641509434,0.9173075696250984,0.9407763105242096,16,6_hist_fig_isamerican,20,layer_20/width_1m/average_l0_193,l1,False
0.9265260374362054,0.9265408805031446,0.9746379636652325,0.9943977591036415,128,6_hist_fig_isamerican,20,layer_20/width_1m/average_l0_193,l1,False
0.7584602982494986,0.7584905660377359,0.8274789653876962,0.803921568627451,16,87_glue_cola,20,layer_20/width_1m/average_l0_193,l1,False
0.75062411600737,0.7506918238993711,0.825823334572103,0.9159663865546218,128,87_glue_cola,20,layer_20/width_1m/average_l0_193,l1,False
0.994744254074971,0.9947443860487338,0.9999105155219046,1.0,16,66_living-room,20,layer_20/width_131k/average_l0_276,l1,False
0.9937887177878202,0.9937888198757764,0.9996749339367144,1.0,128,66_living-room,20,layer_20/width_131k/average_l0_276,l1,False
0.6344649461208511,0.6344654088050314,0.6903442547585462,0.7426970788315326,16,7_hist_fig_ispolitician,20,layer_20/width_16k/average_l0_408,l1,False
0.6872953599964159,0.6872955974842767,0.7480029902616504,0.7683073229291717,128,7_hist_fig_ispolitician,20,layer_20/width_16k/average_l0_408,l1,False
0.8206500113869484,0.8208805031446541,0.891323785693527,0.8687474989995999,16,90_glue_qnli,20,layer_20/width_16k/average_l0_408,l1,False
0.8347141358199734,0.8347169811320755,0.9074325165892182,0.9171668667466987,128,90_glue_qnli,20,layer_20/width_16k/average_l0_408,l1,False
0.6461969570962004,0.6470440251572327,0.720774192209118,0.7458983593437375,16,7_hist_fig_ispolitician,20,layer_20/width_131k/average_l0_276,l1,False
0.6920561383039299,0.6920754716981132,0.7525802778421915,0.7551020408163266,128,7_hist_fig_ispolitician,20,layer_20/width_131k/average_l0_276,l1,False
0.9590804078705353,0.9590804597701149,0.9845737052870827,0.9959415584415584,16,73_control-group,20,layer_20/width_16k/average_l0_408,l1,False
0.9760912868927908,0.9760919540229885,0.9934122855674007,1.0,128,73_control-group,20,layer_20/width_16k/average_l0_408,l1,False
0.9703141723195805,0.9703144654088051,0.9906602422790391,0.9963985594237695,16,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_276,l1,False
0.9715679184323234,0.9715723270440252,0.9941951659630657,0.9991996798719487,128,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_276,l1,False
0.8198738718384789,0.819874213836478,0.894307718479979,0.8755502200880352,16,90_glue_qnli,20,layer_20/width_131k/average_l0_276,l1,False
0.8404993087178637,0.840503144654088,0.9130652055260602,0.9031612645058024,128,90_glue_qnli,20,layer_20/width_131k/average_l0_276,l1,False
0.7611670780358094,0.7612578616352201,0.8308185803294857,0.8379351740696278,16,87_glue_cola,20,layer_20/width_131k/average_l0_276,l1,False
0.7409564562981193,0.7411320754716981,0.8237505050433451,0.8639455782312925,128,87_glue_cola,20,layer_20/width_131k/average_l0_276,l1,False
0.9765515754358822,0.976551724137931,0.9912688051301477,1.0,16,73_control-group,20,layer_20/width_131k/average_l0_276,l1,False
0.9728731503490825,0.9728735632183908,0.9928381541208939,1.0,128,73_control-group,20,layer_20/width_131k/average_l0_276,l1,False
0.799445677730928,0.799496855345912,0.8803371309892571,0.8563425370148059,16,90_glue_qnli,20,layer_20/width_1m/average_l0_193,l1,False
0.82867553701834,0.8286792452830188,0.9072241703871948,0.8899559823929571,128,90_glue_qnli,20,layer_20/width_1m/average_l0_193,l1,False
0.9257485221169687,0.9257861635220126,0.9717357998013242,0.9919967987194879,16,6_hist_fig_isamerican,20,layer_20/width_16k/average_l0_408,l1,False
0.939857884687953,0.939874213836478,0.9810397361521924,0.9979991996798719,128,6_hist_fig_isamerican,20,layer_20/width_16k/average_l0_408,l1,False
0.9954022969067715,0.9954022988505747,0.9996871448671464,1.0,16,67_social-security,20,layer_20/width_131k/average_l0_276,l1,False
0.996321806424234,0.9963218390804598,0.9995560839331132,1.0,128,67_social-security,20,layer_20/width_131k/average_l0_276,l1,False
