test_f1,test_acc,test_auc,val_auc,k,dataset,layer,sae_id,reg_type,binarize
0.7389003914774943,0.7544654088050314,0.754654879452862,0.7653061224489796,1,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_34,l1,False
0.8229157475205364,0.8276729559748428,0.8300003847949297,0.8673469387755103,2,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_34,l1,False
0.8497170525659622,0.8525786163522012,0.852596707573068,0.879951980792317,4,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_34,l1,False
0.9153736324492837,0.9157232704402516,0.9518378514671318,0.9829931972789117,8,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_34,l1,False
0.9138745210462416,0.9142138364779874,0.9647049382353506,0.9871948779511804,16,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_34,l1,False
0.9291669353791515,0.9293081761006289,0.9794335970528759,0.9883953581432573,32,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_34,l1,False
0.9410897882744435,0.9411320754716981,0.9830885159978492,0.9895958383353342,64,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_34,l1,False
0.9438613117147527,0.9438993710691824,0.9856529716801058,0.9903961584633855,128,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_34,l1,False
0.9458752556891115,0.9459119496855346,0.9865235702083665,0.9903961584633852,256,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_34,l1,False
0.9461304444791052,0.9461635220125786,0.9866162247769455,0.990796318527411,512,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_34,l1,False
0.7552844859070627,0.7665408805031446,0.7688633056517262,0.7767106842737095,1,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_53,l1,False
0.8944121752498336,0.8950943396226415,0.9027058678188912,0.8779511804721889,2,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_53,l1,False
0.9256920021769186,0.9257861635220126,0.9617045504025663,0.9539815926370547,4,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_53,l1,False
0.9312586284250627,0.9313207547169812,0.9710512698738984,0.9707883153261304,8,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_53,l1,False
0.9398641205093303,0.939874213836478,0.9786717284076882,0.9767907162865146,16,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_53,l1,False
0.943897411103921,0.9438993710691824,0.9834824244915896,0.9779911964785915,32,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_53,l1,False
0.9554701424457129,0.9554716981132075,0.9890847348813565,0.9887955182072828,64,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_53,l1,False
0.958991136054718,0.9589937106918239,0.9916962773115796,0.9879951980792316,128,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_53,l1,False
0.9620104868675019,0.9620125786163523,0.9918841179943274,0.9931972789115646,256,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_53,l1,False
0.9645260747467193,0.9645283018867925,0.9911395904364284,0.9919967987194878,512,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_53,l1,False
0.9206394366569386,0.9207547169811321,0.9455368344946377,0.9615846338535414,1,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_276,l1,False
0.8968576596198359,0.8976100628930818,0.9455368344946377,0.9615846338535414,2,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_276,l1,False
0.9541868366095342,0.9542138364779874,0.9835338148670584,0.98359343737495,4,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_276,l1,False
