dataset,method,ratio,num_train,test_f1,test_acc,test_auc,val_auc
5_hist_fig_ismale,logreg,0.05,1024,0.9811933003124292,0.9819427148194272,0.9905039465695205,1.0
5_hist_fig_ismale,pca,0.05,1024,0.9684930464196548,0.9688667496886676,0.9412021857923496,0.9921875
5_hist_fig_ismale,knn,0.05,1024,0.9249985979596632,0.9495641344956414,0.8858166363084395,0.9609375
5_hist_fig_ismale,xgboost,0.05,1024,0.934693732274438,0.9533001245330012,0.9656263914187412,0.9869791666666666
5_hist_fig_ismale,mlp,0.05,1024,0.9768936218887992,0.976961394769614,0.973406193078324,0.9661458333333334
5_hist_fig_ismale,logreg,0.1,1024,0.9757114611472452,0.9763387297633872,0.9948677169077348,0.998641304347826
5_hist_fig_ismale,pca,0.1,1024,0.9600347560728284,0.960772104607721,0.9734058329214038,0.997282608695652
5_hist_fig_ismale,knn,0.1,1024,0.89280436576649,0.9165628891656288,0.7937221947602571,0.9741847826086956
5_hist_fig_ismale,xgboost,0.1,1024,0.9371673477343176,0.9452054794520548,0.9756495948763136,0.9877717391304348
5_hist_fig_ismale,mlp,0.1,1024,0.974510812805308,0.975093399750934,0.9864858475359451,0.9904891304347826
5_hist_fig_ismale,logreg,0.15,1024,0.9758674930776524,0.9763387297633872,0.9950845834663262,0.996279761904762
5_hist_fig_ismale,pca,0.15,1024,0.9308859811489908,0.9327521793275216,0.9596674418251184,0.9933035714285714
5_hist_fig_ismale,knn,0.15,1024,0.8963023917600986,0.9115815691158156,0.9052087608104206,0.9661458333333334
5_hist_fig_ismale,xgboost,0.15,1024,0.9219474710237562,0.9302615193026152,0.9791558372471236,0.9925595238095238
5_hist_fig_ismale,mlp,0.15,1024,0.966435669059566,0.9669987546699876,0.9904093140607664,0.9888392857142856
5_hist_fig_ismale,logreg,0.2,1024,0.9659671673206216,0.9663760896637608,0.9927741820011222,1.0
5_hist_fig_ismale,pca,0.2,1024,0.9578005217196242,0.9582814445828144,0.9786986513418858,1.0
